id,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,mass_sent_g,row_no,pct_mass_remain,pct_mass_remain_corr,prop_n,prop_c,total_n_g
275,CR,22.673,18.186,14,2,I,0.95,41.8,0.108,9,80.20994133991974,80.20994133991974,0.0095,0.418,0.172767
287,CR,23.488,17.821,14,2,J,1.29,42.2,0.1072,10,75.87278610354224,75.87278610354224,0.0129,0.42200000000000004,0.2298909
203,CR,23.274,17.797,21,1,A,NA,NA,NA,1,76.46730256939074,76.46730256939074,NA,NA,NA
285,CR,22.368,19.954,21,1,B,NA,NA,NA,2,89.20779685264665,89.20779685264665,NA,NA,NA
234,CR,22.443,17.121,21,1,C,NA,NA,NA,3,76.28659270151049,76.28659270151049,NA,NA,NA
237,CR,22.465,17.884,21,1,D,NA,NA,NA,4,79.60827954596039,79.60827954596039,NA,NA,NA
264,CR,22.98,18.107,21,1,E,NA,NA,NA,5,78.79460400348128,78.79460400348128,NA,NA,NA
292,CR,23.01,17.027,21,2,F,NA,NA,NA,6,73.99826162538027,73.99826162538027,NA,NA,NA
250,CR,23.175,16.693,21,2,G,NA,NA,NA,7,72.0302049622438,72.0302049622438,NA,NA,NA
232,CR,22.504,15.58,21,2,H,NA,NA,NA,8,69.23213650906506,69.23213650906506,NA,NA,NA
281,CR,22.55,16.612,21,2,I,NA,NA,NA,9,73.66740576496673,73.66740576496673,NA,NA,NA
271,CR,23.304,16.959,21,2,J,NA,NA,NA,10,72.77291452111226,72.77291452111226,NA,NA,NA
241,CR,22.444,16.42,28,1,A,NA,NA,NA,1,73.15986455177331,73.15986455177331,NA,NA,NA
245,CR,22.72,17.656,28,1,B,NA,NA,NA,2,77.71126760563381,77.71126760563381,NA,NA,NA
293,CR,23.103,17.693,28,1,D,NA,NA,NA,4,76.58312773232913,76.58312773232913,NA,NA,NA
291,CR,23.759,17.286,28,1,E,NA,NA,NA,5,72.75558735637023,72.75558735637023,NA,NA,NA
206,CR,22.949,16.252,28,2,F,NA,NA,NA,6,70.817900562116,70.817900562116,NA,NA,NA
274,CR,22.531,14.596,28,2,F,NA,NA,NA,6,64.78185610936043,64.78185610936043,NA,NA,NA
226,CR,22.832,14.557,28,2,G,NA,NA,NA,7,63.75700770847933,63.75700770847933,NA,NA,NA
229,CR,22.498,14.596,28,2,H,NA,NA,NA,8,64.8768779447062,64.8768779447062,NA,NA,NA
243,CR,23.302,16.829,28,2,I,NA,NA,NA,9,72.22126856063858,72.22126856063858,NA,NA,NA
202,CR,23.243,16.137,28,2,J,NA,NA,NA,10,69.42735447231425,69.42735447231425,NA,NA,NA
289,CR,22.74,16.427,35,1,A,1.47,34.1,0.1097,1,72.23834652594547,72.23834652594547,0.0147,0.341,0.2414769
242,CR,22.848,18.481,35,1,B,1.23,37.2,0.1029,2,80.88672969187675,80.88672969187675,0.0123,0.37200000000000005,0.22731630000000003
231,CR,22.712,16.531,35,1,C,1.5,35,0.1051,3,72.7853117294822,72.7853117294822,0.015,0.35,0.24796499999999996
199,CR,22.932,16.329,35,1,D,1.48,37.9,0.11,4,71.20617477760337,71.20617477760337,0.0148,0.379,0.24166920000000003
244,CR,22.986,17.387,35,1,E,1.27,34.2,0.1008,5,75.64169494474898,75.64169494474898,0.0127,0.342,0.2208149
359,CR,22.751,13.387,35,2,F,1.73,33.1,0.113,6,58.841369610127025,58.841369610127025,0.0173,0.331,0.2315951
265,CR,22.356,13.579,35,2,G,1.68,38.9,0.1039,7,60.73984612631955,60.73984612631955,0.0168,0.389,0.2281272
270,CR,23.54,16.308,35,2,H,1.48,37.2,0.1051,8,69.27782497875955,69.27782497875955,0.0148,0.37200000000000005,0.2413584
280,CR,23.836,14.503,35,2,I,1.32,39.2,0.1027,9,60.84494042624602,60.84494042624602,0.0132,0.392,0.1914396
227,CR,22.49,13.585,35,2,J,1.5,40.4,0.1035,10,60.404624277456655,60.404624277456655,0.015,0.40399999999999997,0.203775
219,CR,22.911,15.7,49,1,A,NA,NA,NA,1,68.52603552878529,68.52603552878529,NA,NA,NA
208,CR,22.944,18.878,49,1,B,NA,NA,NA,2,82.27859135285914,82.27859135285914,NA,NA,NA
220,CR,23.066,14.157,49,1,C,NA,NA,NA,3,61.37605133096332,61.37605133096332,NA,NA,NA
296,CR,23.99,14.636,49,1,D,NA,NA,NA,4,61.00875364735307,61.00875364735307,NA,NA,NA
277,CR,23.509,16.01,49,1,E,NA,NA,NA,5,68.10157811901826,68.10157811901826,NA,NA,NA
209,CR,22.986,13.707,49,2,F,NA,NA,NA,6,59.63194988253719,59.63194988253719,NA,NA,NA
297,CR,22.741,12.152,49,2,G,NA,NA,NA,7,53.43652433929906,53.43652433929906,NA,NA,NA
268,CR,22.624,14.545,49,2,H,NA,NA,NA,8,64.29013437057992,64.29013437057992,NA,NA,NA
278,CR,23.217,12.678,49,2,I,NA,NA,NA,9,54.606538312443476,54.606538312443476,NA,NA,NA
269,CR,23.089,15.146,49,2,J,NA,NA,NA,10,65.59833687037117,65.59833687037117,NA,NA,NA
221,CR,22.417,13.994,63,1,A,1.75,32,0.1044,1,62.42583753401436,62.42583753401436,0.0175,0.32,0.24489500000000003
228,CR,22.776,14.61,63,1,B,1.63,36.1,0.1046,2,64.14646996838778,64.14646996838778,0.0163,0.361,0.23814299999999997
218,CR,23.109,15.065,63,1,D,1.74,33.3,0.1038,4,65.19105110562984,65.19105110562984,0.0174,0.33299999999999996,0.26213099999999995
273,CR,23.094,12.616,63,2,G,1.88,38.8,0.1056,7,54.62890794145665,54.62890794145665,0.018799999999999997,0.38799999999999996,0.23718079999999997
205,CR,22.536,12.977,63,2,H,1.78,38.7,0.1019,8,57.58342208022719,57.58342208022719,0.0178,0.387,0.2309906
233,CR,23.154,13.805,63,2,I,1.88,33.5,0.1032,9,59.62252742506694,59.62252742506694,0.018799999999999997,0.335,0.25953399999999993
222,CR,23.061,9.177,63,2,J,1.59,37.8,0.1024,10,39.79445817614153,39.79445817614153,0.0159,0.37799999999999995,0.1459143
288,CR,22.687,13.452,84,1,A,NA,NA,NA,1,59.29386873539912,59.29386873539912,NA,NA,NA
204,CR,23.265,17.936,84,1,B,NA,NA,NA,2,77.0943477326456,77.0943477326456,NA,NA,NA
262,CR,22.881,13.445,84,1,C,NA,NA,NA,3,58.76054368253136,58.76054368253136,NA,NA,NA
210,CR,22.494,16.815,84,1,D,NA,NA,NA,4,74.75326753801014,74.75326753801014,NA,NA,NA
230,CR,22.986,14.083,84,2,E,NA,NA,NA,5,61.26772818237187,61.26772818237187,NA,NA,NA
257,CR,22.465,12.51,84,2,F,NA,NA,NA,6,55.6866236367683,55.6866236367683,NA,NA,NA
