bag_no,spp,initial_wt_g,coll_wt_g,days,soil_block,row,row_no,pct_mass_remain,pct_mass_remain_corr
224,CR,22.435,NA,NA,1,B,2,NA,NA
240,CR,23.294,21.393,0,1,C,3,91.83910019747574,99.26042329747574
235,CR,22.69,19.403,7,1,C,3,85.51344204495372,85.51344204495372
238,CR,22.586,17.023,14,1,C,3,75.36969804303551,75.36969804303551
234,CR,22.443,17.121,21,1,C,3,76.28659270151049,76.28659270151049
231,CR,22.712,16.531,35,1,C,3,72.7853117294822,72.7853117294822
220,CR,23.066,14.157,49,1,C,3,61.37605133096332,61.37605133096332
262,CR,22.881,13.445,84,1,C,3,58.76054368253136,58.76054368253136
258,CR,22.677,21.05,0,1,D,4,92.82532962913966,100.24665272913965
253,CR,23.422,20.523,7,1,D,4,87.62274784390743,87.62274784390743
201,CR,22.603,21.441,14,1,D,4,94.85908950139361,94.85908950139361
237,CR,22.465,17.884,21,1,D,4,79.60827954596039,79.60827954596039
293,CR,23.103,17.693,28,1,D,4,76.58312773232913,76.58312773232913
199,CR,22.932,16.329,35,1,D,4,71.20617477760337,71.20617477760337
296,CR,23.99,14.636,49,1,D,4,61.00875364735307,61.00875364735307
218,CR,23.109,15.065,63,1,D,4,65.19105110562984,65.19105110562984
210,CR,22.494,16.815,84,1,D,4,74.75326753801014,74.75326753801014
248,CR,22.668,NA,NA,1,D,4,NA,NA
252,CR,23.457,NA,NA,1,D,4,NA,NA
255,CR,22.334,20.583,0,1,E,5,92.1599355243127,99.5812586243127
294,CR,22.863,20.3,7,1,E,5,88.78974762717054,88.78974762717054
225,CR,22.993,18.401,14,1,E,5,80.0287043882921,80.0287043882921
264,CR,22.98,18.107,21,1,E,5,78.79460400348128,78.79460400348128
291,CR,23.759,17.286,28,1,E,5,72.75558735637023,72.75558735637023
244,CR,22.986,17.387,35,1,E,5,75.64169494474898,75.64169494474898
277,CR,23.509,16.01,49,1,E,5,68.10157811901826,68.10157811901826
183,GM_PC,24.783,24.581,0,1,A,1,99.18492515030464,98.95797445030463
145,GM_PC,24.383,23.652,7,1,A,1,97.00200959685027,97.00200959685027
140,GM_PC,24.657,21.806,14,1,A,1,88.43736058725717,88.43736058725717
144,GM_PC,24.843,21.744,21,1,A,1,87.52566115203477,87.52566115203477
166,GM_PC,24.475,20.362,28,1,A,1,83.19509703779366,83.19509703779366
143,GM_PC,24.86,20.043,35,1,A,1,80.62349155269509,80.62349155269509
162,GM_PC,24.353,20.744,49,1,A,1,85.18047057857348,85.18047057857348
127,GM_PC,24.703,20.393,63,1,A,1,82.55272638950734,82.55272638950734
101,GM_PC,25.798,21.533,84,1,A,1,83.46771067524615,83.46771067524615
152,GM_PC,24.282,NA,NA,1,A,1,NA,NA
121,GM_PC,23.302,23.361,0,1,B,2,100.2531971504592,100.0262464504592
151,GM_PC,24.478,22.054,7,1,B,2,90.09723016586321,90.09723016586321
156,GM_PC,24.764,22.841,14,1,B,2,92.23469552576321,92.23469552576321
122,GM_PC,25.332,22.108,21,1,B,2,87.27301436917733,87.27301436917733
175,GM_PC,25.646,22.271,28,1,B,2,86.84005302971224,86.84005302971224
173,GM_PC,24.743,22.277,35,1,B,2,90.03354484096513,90.03354484096513
100,GM_PC,25.674,22.196,49,1,B,2,86.45322115759134,86.45322115759134
146,GM_PC,24.473,18.848,63,1,B,2,77.01548645446002,77.01548645446002
150,GM_PC,24.596,18.173,84,1,B,2,73.88599772320703,73.88599772320703
124,GM_PC,24.36,NA,NA,1,B,2,NA,NA
176,GM_PC,24.481,23.871,0,1,C,3,97.50827172092642,97.28132102092641
125,GM_PC,24.23,22.828,7,1,C,3,94.21378456458936,94.21378456458936
154,GM_PC,24.979,21.34,14,1,C,3,85.43176268065174,85.43176268065174
158,GM_PC,24.811,21.523,21,1,C,3,86.74781346983193,86.74781346983193
155,GM_PC,24.533,21.675,35,1,C,3,88.35038519545103,88.35038519545103
177,GM_PC,24.728,20.707,49,1,C,3,83.73908120349401,83.73908120349401
169,GM_PC,24.833,19.505,84,1,C,3,78.54467845205976,78.54467845205976
159,GM_PC,24.805,24.442,0,1,D,4,98.53658536585365,98.30963466585365
135,GM_PC,24.807,23.052,7,1,D,4,92.92538396420366,92.92538396420366
112,GM_PC,25.908,23.621,14,1,D,4,91.17261077659408,91.17261077659408
160,GM_PC,24.556,21.95,21,1,D,4,89.38752239778465,89.38752239778465
134,GM_PC,23.088,21.068,28,1,D,4,91.25086625086625,91.25086625086625
141,GM_PC,24.393,20.718,35,1,D,4,84.93420243512483,84.93420243512483
114,GM_PC,25.328,21.457,49,1,D,4,84.71651926721415,84.71651926721415
170,GM_PC,24.551,22.678,63,1,D,4,92.37098285202234,92.37098285202234
186,GM_PC,24.628,20.471,84,1,D,4,83.12083807048887,83.12083807048887
133,GM_PC,24.356,NA,NA,1,D,4,NA,NA
123,GM_PC,23.508,23.372,0,1,E,5,99.42147354092225,99.19452284092225
168,GM_PC,24.92,22.058,7,1,E,5,88.51524879614766,88.51524879614766
174,GM_PC,24.784,22.073,14,1,E,5,89.06149128469981,89.06149128469981
188,GM_PC,24.679,23.238,21,1,E,5,94.16102759431095,94.16102759431095
132,GM_PC,24.606,21.277,28,1,E,5,86.47077948467853,86.47077948467853
164,GM_PC,24.477,20.878,35,1,E,5,85.2964007027005,85.2964007027005
113,GM_PC,22.788,17.695,49,1,E,5,77.6505178163946,77.6505178163946
128,GM_PC,24.08,20.394,84,1,E,5,84.69269102990033,84.69269102990033
2,PC,23.689,23.141,0,1,A,1,97.68669002490607,99.74489472490608
21,PC,25.416,23.066,7,1,A,1,90.75385583884167,90.75385583884167
28,PC,24.473,20.668,14,1,A,1,84.4522535038614,84.4522535038614
49,PC,24.584,19.409,21,1,A,1,78.9497233973316,78.9497233973316
29,PC,24.609,20.337,28,1,A,1,82.64049737900767,82.64049737900767
3,PC,24.081,18.301,35,1,A,1,75.99767451517793,75.99767451517793
30,PC,24.067,16.895,49,1,A,1,70.19985872771845,70.19985872771845
4,PC,23.471,17.322,63,1,A,1,73.8017127519066,73.8017127519066
55,PC,25.31,19.487,84,1,A,1,76.99328328723824,76.99328328723824
85,PC,24.722,NA,NA,1,A,1,NA,NA
11,PC,25.556,24.848,0,1,B,2,97.22961339802785,99.28781809802786
54,PC,25.38,23.19,7,1,B,2,91.37115839243499,91.37115839243499
57,PC,24.357,20.689,14,1,B,2,84.94067413885126,84.94067413885126
98,PC,24.213,18.952,21,1,B,2,78.2720026432082,78.2720026432082
96,PC,25.041,19.817,28,1,B,2,79.13821333013857,79.13821333013857
1,PC,23.578,17.166,35,1,B,2,72.80515735007211,72.80515735007211
32,PC,24.71,18.209,49,1,B,2,73.69081343585593,73.69081343585593
90,PC,25.247,18.057,63,1,B,2,71.52136887550996,71.52136887550996
5,PC,23.862,16.705,84,1,B,2,70.00670522169139,70.00670522169139
9,PC,23.23,NA,NA,1,B,2,NA,NA
77,PC,24.881,24.342,0,1,C,3,97.8336883565773,99.8918930565773
6,PC,24.086,22.055,7,1,C,3,91.56771568546044,91.56771568546044
67,PC,25.11,20.712,14,1,C,3,82.48506571087216,82.48506571087216
31,PC,24.96,18.712,21,1,C,3,74.96794871794872,74.96794871794872
18,PC,24.141,19.904,35,1,C,3,82.44894577689409,82.44894577689409
76,PC,24.64,17.718,49,1,C,3,71.90746753246754,71.90746753246754
27,PC,24.276,17.073,84,1,C,3,70.3287197231834,70.3287197231834
33,PC,24.673,24.556,0,1,D,4,99.5257974303895,101.58400213038951
44,PC,25.163,21.68,7,1,D,4,86.1582482215952,86.1582482215952
86,PC,24.129,20.398,14,1,D,4,84.53727879315346,84.53727879315346
95,PC,24.846,20.016,21,1,D,4,80.56025114706593,80.56025114706593
48,PC,24.179,19.269,28,1,D,4,79.69312213077464,79.69312213077464
