sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_c,initial_prop_c,collected_prop_c,prop_c_remain,pct_c_remaing,prop_n,initial_prop_n,collected_prop_n,prop_n_remain,pct_n_remain
242,CR,22.848,18.481,35,1,2,1.23,37.2,0.37200000000000005,9.8200704,6.874932000000001,0.7000898893759459,70.00898893759458,0.0123,0.32878272,0.22731630000000003,0.691387613071636,69.1387613071636
334,AR,22.405,18.087,35,1,2,1.79,26.1,0.261,9.255505500000002,4.720707,0.5100431305453818,51.00431305453817,0.0179,0.38334955000000004,0.32375729999999997,0.8445485327946777,84.45485327946777
18,PC,24.141,19.904,35,1,3,1.6,43,0.43,10.9817409,8.55872,0.7793591269304122,77.93591269304122,0.016,0.45191951999999996,0.318464,0.7046918442469581,70.46918442469581
155,GM_PC,24.533,21.675,35,1,3,1.38,42.4,0.424,10.5826431988,9.1902,0.8684219837480778,86.84219837480778,0.0138,0.39141297515000006,0.299115,0.7641928576470186,76.41928576470185
231,CR,22.712,16.531,35,1,3,1.5,35,0.35,9.7616176,5.785849999999999,0.5927142648980634,59.271426489806345,0.015,0.32682568,0.24796499999999996,0.758707210522747,75.8707210522747
378,AR,22.992,17.141,35,1,3,1.7,30.4,0.304,9.4979952,5.210863999999999,0.5486277777862005,54.86277777862006,0.017,0.39339312000000004,0.291397,0.7407272399679994,74.07272399679994
81,PC,23.526,21.464,35,1,4,1.41,38.8,0.388,10.7019774,8.328031999999999,0.7781769376563996,77.81769376563996,0.0141,0.44040672000000003,0.3026424,0.687188424372816,68.71884243728161
141,GM_PC,24.393,20.718,35,1,4,1.54,43.1,0.431,10.5222522948,8.929458,0.8486261068281793,84.86261068281793,0.0154,0.38917933815000005,0.3190572,0.8198205010488683,81.98205010488682
199,CR,22.932,16.329,35,1,4,1.48,37.9,0.379,9.8561736,6.188691,0.6278999590672795,62.789995906727945,0.0148,0.32999148,0.24166920000000003,0.7323498170316398,73.23498170316398
350,AR,23.707,14.635,35,1,4,1.75,33.4,0.33399999999999996,9.7933617,4.888089999999999,0.4991227884496494,49.912278844964945,0.0175,0.40562677,0.2561125,0.6313994019674787,63.139940196747865
24,PC,24.783,19.087,35,1,5,1.51,38.4,0.384,11.2737867,7.329408,0.6501283193516514,65.01283193516514,0.0151,0.46393776000000003,0.2882137,0.6212335464998581,62.12335464998581
164,GM_PC,24.477,20.878,35,1,5,1.29,42.7,0.4270000000000001,10.5584868372,8.914906,0.844335569808234,84.4335569808234,0.0129,0.39051952035000004,0.2693262,0.6896612997952536,68.96612997952536
244,CR,22.986,17.387,35,1,5,1.27,34.2,0.342,9.8793828,5.946354,0.6018952924872999,60.18952924872999,0.0127,0.33076854,0.2208149,0.6675813243907659,66.75813243907659
348,AR,23.156,14.896,35,1,5,1.83,31.4,0.314,9.5657436,4.677344000000001,0.4889681550736945,48.89681550736945,0.0183,0.39619916,0.27259680000000003,0.6880297272715067,68.80297272715067
80,PC,24.857,18.47,35,2,6,1.8,43.1,0.431,11.3074493,7.96057,0.7040111159286825,70.40111159286825,0.018000000000000002,0.46532304,0.33246000000000003,0.7144713917453991,71.44713917453991
187,GM_PC,24.522,20.21,35,2,6,1.47,39.3,0.393,10.5778981992,7.94253,0.7508608846888589,75.08608846888589,0.0147,0.3912374751,0.297087,0.7593521043045909,75.9352104304591
