sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_n,initial_prop_n,collected_prop_n,prop_n_remain,pct_n_remain
238,CR,22.586,17.023,14,1,3,1.27,41.7,0.0127,0.32501253999999996,0.2161921,0.6651807957932947,66.51807957932947
329,AR,22.761,17.721,14,1,3,1.61,39.1,0.0161,0.38944070999999997,0.2853081,0.7326098496482303,73.26098496482302
86,PC,24.129,20.398,14,1,4,1.8,43.8,0.018000000000000002,0.45169488,0.36716400000000005,0.812858449934168,81.2858449934168
112,GM_PC,25.908,23.621,14,1,4,1.4,42.9,0.013999999999999999,0.4133504814000001,0.33069399999999993,0.8000329378593046,80.00329378593047
201,CR,22.603,21.441,14,1,4,1.04,39,0.0104,0.32525717000000004,0.22298639999999997,0.6855695141170907,68.55695141170906
333,AR,23.878,20.119,14,1,4,1.42,37.9,0.014199999999999999,0.40855258,0.2856898,0.6992730287004919,69.92730287004919
12,PC,24.599,20.496,14,1,5,2.18,46,0.0218,0.46049328,0.44681279999999995,0.9702916837353196,97.02916837353196
174,GM_PC,24.784,22.073,14,1,5,1.2,44.6,0.012,0.39541756720000004,0.264876,0.6698640171088484,66.98640171088483
225,CR,22.993,18.401,14,1,5,1.26,42.4,0.0126,0.33086927,0.2318526,0.7007377868606535,70.07377868606535
299,AR,22.364,15.676,14,1,5,1.6,40.5,0.016,0.38264804,0.250816,0.6554744145559976,65.54744145559977
20,PC,25.37,22.009,14,2,6,1.37,45,0.0137,0.4749264,0.3015233,0.63488426838348,63.488426838348
178,GM_PC,24.712,22.816,14,2,6,1.33,37.6,0.013300000000000001,0.39426883960000003,0.3034528,0.7696596066477479,76.9659606647748
260,CR,22.604,18.465,14,2,6,1.18,39.5,0.0118,0.32527156,0.217887,0.6698618225337623,66.98618225337623
314,AR,22.97,17.596,14,2,6,1.2,41,0.012,0.3930167,0.211152,0.5372596126322368,53.725961263223674
72,PC,24.899,21.052,14,2,7,1.7,45.1,0.017,0.46610928,0.35788400000000004,0.7678113596021946,76.78113596021946
165,GM_PC,24.496,22.741,14,2,7,1.76,43.4,0.0176,0.3908226568,0.40024160000000003,1.0241002998063649,102.41002998063648
286,CR,23.07,17.881,14,2,7,1.24,41.1,0.0124,0.33197730000000003,0.2217244,0.6678902443028483,66.78902443028483
347,AR,23.934,18.063,14,2,7,1.49,39.1,0.0149,0.40951074000000004,0.2691387,0.6572201256553124,65.72201256553124
88,PC,24.411,20.91,14,2,8,2.2,43.9,0.022000000000000002,0.45697392000000003,0.46002000000000004,1.0066657633328397,100.66657633328397
185,GM_PC,24.751,22.67,14,2,8,1.57,43.7,0.015700000000000002,0.39489106705000004,0.3559190000000001,0.901309322236288,90.1309322236288
256,CR,23.209,17.046,14,2,8,1.24,41.8,0.0124,0.33397751,0.21137039999999999,0.6328881247123497,63.28881247123497
344,AR,23.047,16.924,14,2,8,1.41,39.3,0.0141,0.39433417000000004,0.2386284,0.6051425875672909,60.51425875672909
46,PC,24.49,20.09,14,2,9,1.57,44.2,0.015700000000000002,0.4584528,0.31541300000000005,0.687994489290937,68.7994489290937
167,GM_PC,24.704,22.329,14,2,9,1.45,44,0.014499999999999999,0.39414120320000007,0.32377049999999996,0.8214581408168795,82.14581408168794
275,CR,22.673,18.186,14,2,9,0.95,41.8,0.0095,0.32626447,0.172767,0.5295305369904361,52.95305369904361
377,AR,22.947,17.605,14,2,9,1.56,40,0.015600000000000001,0.39262316999999997,0.27463800000000005,0.6994951418684742,69.94951418684742
79,PC,24.552,20.451,14,2,10,1.79,44.6,0.0179,0.45961344,0.3660729,0.7964799723872305,79.64799723872305
119,GM_PC,24.043,21.092,14,2,10,1.4,44.2,0.013999999999999999,0.38359524565,0.29528799999999994,0.7697905627053225,76.97905627053225
